Neighborhood,enrollment rate,not enrolled rate,grade 1 rate,grade 2 rate,grade 3 rate,grade 4 rate,grade 5 rate,grade 6 rate,grade 7 rate,grade 8 rate,grade 9 rate,grade 10 rate,grade 11 rate,grade 12 rate,graduate rate,undergraduate rate
Bluff,94.00933345429104,39.822048707621455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.269067896673118,0.0,0.4484464944551966,2.4066628535762216,50.46517884269146
North Oakland,93.49847803162554,23.196224607323302,0.33235214355204057,0.0,0.49852821532806085,0.17595113482166855,0.2052763239586133,0.0,0.0,0.2052763239586133,0.14662594568472379,0.039100252182593005,0.039100252182593005,0.29325189136944757,8.406554219257496,59.852711028504245
Bloomfield,92.76939986452656,68.91659465106568,0.44758124199171434,0.19649908185002093,0.19649908185002093,0.38208154804170735,0.03274984697500349,0.3056652384333659,0.2183323131666899,1.2881606476834706,0.10916615658334496,0.3711649323833729,0.29474862277503144,0.9606621779334357,10.73103319214281,7.565214651225806
Shadyside,92.13819949856054,59.59518155678152,0.3743764313711263,0.11785924691313236,0.2426513907035078,0.16638952505383392,0.13172504066761853,0.05546317501794464,0.40904091575734175,0.3882422251256125,0.0,0.22185270007177857,0.29811456572145245,0.19412111256280626,19.64782975010689,9.241551537365027
Squirrel Hill South,91.60325732703427,64.78376077499928,1.098530358660759,0.7618839584260103,1.133966821843364,0.7441657268347078,0.8563811935796241,0.5847016425129847,0.6083259513013881,0.5374530249361779,0.42523755819126163,0.4370497125854633,0.7028231864550017,0.9863148919158429,11.156579825323517,3.6027070902315215
Squirrel Hill North,91.47553159363542,42.72217972097984,0.9170686422411065,0.16523759319659578,1.1979725506753194,0.8922830032616171,1.0823062354377022,0.5948553355077447,0.6857360117658724,0.5783315761880852,0.18176135251625536,0.6774741321060427,0.503974659249617,0.47918902027012766,6.3533854584091065,32.35352074789345
Mount Washington,91.11645828970018,74.15436804855598,0.6947295939977138,0.4702784943984525,0.20307480439933173,0.5450955275982063,0.6306007083979249,0.4702784943984525,0.44890219919852287,0.021376295199929656,0.8122992175973269,0.7161058891976436,0.8443636603972215,0.6733532987977843,4.11493682598646,4.969988633983646
Point Breeze,90.7801108603471,69.34640128197461,0.574117220849263,0.2783598646541881,0.9046695601261114,0.6263096954719233,0.22616739003152786,1.9659165441202036,0.9568620347487715,0.7828871193399041,0.9742595262896584,0.9220670516669981,1.5657742386798081,0.6089122039310365,4.523347800630557,3.061958511196069
Brookline,90.59732622016942,70.57331046954263,0.9288760847493303,1.2692276272529017,1.2337743415754463,0.9076041133428571,0.999782656104241,0.7728816277685268,0.9430573990203124,1.2337743415754463,0.9643293704267857,1.1912303987625,0.8650601705299107,0.8225162277169642,1.510309969859598,3.942405367333036
Central Lawrenceville,90.20187662649306,78.68674344013225,0.17447171494486086,0.8917443208292887,0.13570022273489177,0.05815723831495361,0.3877149220996908,0.13570022273489177,0.504029398729598,0.5815723831495362,0.42648641430965983,0.07754298441993815,0.44587216041464434,0.23262895325981445,3.101719376797526,3.140490869007495
Central Oakland,89.82604469336907,17.989894900801843,0.0925723579801124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.279491616317625,64.89322294405879
Carrick,89.73695812717078,68.96730491788972,1.6897035372546152,1.662302939353189,1.1325580465922824,0.949887393916108,1.315228699268457,0.8676856002118294,1.3060951666346485,1.6531694067193803,0.5297448927609064,1.287828101367031,0.6758814149018461,0.6484808170004198,1.589234678282719,3.826950173565858
South Side Slopes,89.67961748287486,66.81357025238457,0.47065620371506595,0.6471522801082157,0.09805337577397208,0.0,0.7648163310369822,0.3726028279410939,0.0,0.41182417825068274,1.1962511844424593,1.647296713002731,0.5294882291794492,0.9805337577397207,3.3142041011602563,11.511466315864322
Lincoln-Lemington-Belmar,89.45725434888605,63.34251816998792,0.46073987612734885,2.1562626202759927,1.271642058111483,0.8477613720743219,0.8661909671194158,0.9214797522546977,0.42388068603716095,1.5112267936977044,1.216353272976201,0.6081766364881005,2.193121810366181,1.3269308432467648,1.7692411243290196,7.427126803172864
Central Business District,89.35317816196142,52.058131047048114,0.0,0.0,0.0,0.0,0.0,0.2656027094237149,0.0,0.0,0.0,0.0,0.0,0.7968081282711447,3.12083183572865,32.64699969999829
Overbrook,89.25758818901204,70.64674828304622,1.9107128970124903,0.595546876990906,1.06702148794204,0.1488867192477265,0.8933203154863592,1.017392581526131,0.6948046898227237,0.6699902366147693,1.2159082071897664,0.7444335962386326,1.5881250053090827,1.2407226603977208,0.9181347686943135,4.26808595176816
